id,title,verdict,reason,has_photo,step_count,ingredient_count
tmdb-52846-chicken-mushroom-hotpot,Chicken & mushroom Hotpot,keep,,1,5,11
tmdb-52847-pork-cassoulet,Pork Cassoulet,keep,,1,3,16
tmdb-52848-bean-sausage-hotpot,Bean & Sausage Hotpot,keep,,1,2,5
tmdb-52849-spinach-ricotta-cannelloni,Spinach & Ricotta Cannelloni,keep,,1,3,15
tmdb-52850-chicken-couscous,Chicken Couscous,keep,,1,2,10
tmdb-52851-nutty-chicken-curry,Nutty Chicken Curry,keep,,1,2,9
tmdb-52852-tuna-nicoise,Tuna Nicoise,keep,,1,3,9
tmdb-52853-chocolate-avocado-mousse,Chocolate Avocado Mousse,fix,no heat step (assumed mix-and-serve),1,4,8
tmdb-52854-pancakes,Pancakes,keep,,1,3,7
tmdb-52855-banana-pancakes,Banana Pancakes,keep,,1,2,7
tmdb-52856-choc-chip-pecan-pie,Choc Chip Pecan Pie,keep,,1,4,12
tmdb-52857-pumpkin-pie,Pumpkin Pie,keep,,1,4,11
tmdb-52858-new-york-cheesecake,New York cheesecake,keep,,1,6,12
tmdb-52859-key-lime-pie,Key Lime Pie,keep,,1,3,8
tmdb-52860-chocolate-raspberry-brownies,Chocolate Raspberry Brownies,keep,,1,2,8
tmdb-52861-peanut-butter-cheesecake,Peanut Butter Cheesecake,keep,,1,6,10
tmdb-52862-peach-blueberry-grunt,Peach & Blueberry Grunt,keep,,1,4,11
tmdb-52863-vegetarian-casserole,Vegetarian Casserole,keep,,1,4,15
tmdb-52864-mushroom-chestnut-rotolo,Mushroom & Chestnut Rotolo,keep,,1,6,12
tmdb-52865-matar-paneer,Matar Paneer,keep,,1,2,12
tmdb-52866-squash-linguine,Squash linguine,keep,,1,2,5
tmdb-52867-vegetarian-chilli,Vegetarian Chilli,keep,,1,4,4
tmdb-52868-kidney-bean-curry,Kidney Bean Curry,keep,,1,3,11
tmdb-52869-tahini-lentils,Tahini Lentils,keep,,1,3,10
tmdb-52870-chickpea-fajitas,Chickpea Fajitas,keep,,1,4,13
tmdb-52871-yaki-udon,Yaki Udon,keep,,1,2,10
tmdb-52872-spanish-tortilla,Spanish Tortilla,keep,,1,4,10
tmdb-52873-beef-dumpling-stew,Beef Dumpling Stew,keep,,1,10,19
tmdb-52874-beef-and-mustard-pie,Beef and Mustard Pie,keep,,1,13,15
tmdb-52875-chicken-ham-and-leek-pie,Chicken Ham and Leek Pie,keep,,1,10,17
tmdb-52876-minced-beef-pie,Minced Beef Pie,keep,,1,7,10
tmdb-52877-lamb-and-potato-pie,Lamb and Potato pie,keep,,1,8,9
tmdb-52878-beef-and-oyster-pie,Beef and Oyster pie,keep,,1,8,15
tmdb-52879-chicken-parmentier,Chicken Parmentier,keep,,1,4,17
tmdb-52880-mcsinghs-scotch-pie,McSinghs Scotch pie,keep,,1,10,16
tmdb-52881-steak-and-kidney-pie,Steak and Kidney Pie,keep,,1,10,12
tmdb-52882-three-fish-pie,Three Fish Pie,keep,,1,6,14
tmdb-52883-sticky-toffee-pudding,Sticky Toffee Pudding,keep,,1,4,14
tmdb-52884-lancashire-hotpot,Lancashire hotpot,keep,,1,3,10
tmdb-52886-spotted-dick,Spotted Dick,keep,,1,5,9
tmdb-52887-kedgeree,Kedgeree,keep,,1,3,11
tmdb-52888-eccles-cakes,Eccles Cakes,keep,,1,5,13
tmdb-52889-summer-pudding,Summer Pudding,keep,,1,4,6
tmdb-52890-jam-roly-poly,Jam Roly-Poly,keep,,1,4,7
tmdb-52891-blackberry-fool,Blackberry Fool,keep,,1,11,13
tmdb-52892-treacle-tart,Treacle Tart,keep,,1,15,6
tmdb-52893-apple-blackberry-crumble,Apple & Blackberry Crumble,keep,,1,3,9
tmdb-52894-battenberg-cake,Battenberg Cake,keep,,1,6,20
tmdb-52895-english-breakfast,English Breakfast,keep,,1,9,7
tmdb-52896-full-english-breakfast,Full English Breakfast,keep,,1,9,8
tmdb-52897-carrot-cake,Carrot Cake,keep,,1,4,12
tmdb-52898-chelsea-buns,Chelsea Buns,keep,,1,12,13
tmdb-52899-dundee-cake,Dundee cake,keep,,1,8,14
tmdb-52900-madeira-cake,Madeira Cake,keep,,1,6,7
tmdb-52901-rock-cakes,Rock Cakes,keep,,1,6,8
tmdb-52902-parkin-cake,Parkin Cake,keep,,1,3,9
tmdb-52903-french-onion-soup,French Onion Soup,keep,,1,3,10
tmdb-52904-beef-bourguignon,Beef Bourguignon,keep,,1,6,15
tmdb-52905-chocolate-souffle,Chocolate Souffle,keep,,1,4,12
tmdb-52906-flamiche,Flamiche,keep,,1,4,13
tmdb-52907-duck-confit,Duck Confit,keep,,1,4,6
tmdb-52908-ratatouille,Ratatouille,keep,,1,4,10
tmdb-52909-tarte-tatin,Tarte Tatin,keep,,1,5,6
tmdb-52910-chinon-apple-tarts,Chinon Apple Tarts,keep,,1,4,7
tmdb-52911-summer-pistou,Summer Pistou,keep,,1,2,10
tmdb-52912-three-cheese-souffles,Three-cheese souffles,keep,,1,8,12
tmdb-52913-brie-wrapped-in-prosciutto-brioche,Brie wrapped in prosciutto & brioche,keep,,1,2,9
tmdb-52914-boulang-re-potatoes,Boulangère Potatoes,keep,,1,2,5
tmdb-52915-french-omelette,French Omelette,keep,,1,3,7
tmdb-52916-pear-tarte-tatin,Pear Tarte Tatin,keep,,1,6,8
tmdb-52917-white-chocolate-creme-brulee,White chocolate creme brulee,keep,,1,3,6
tmdb-52918-fish-stew-with-rouille,Fish Stew with Rouille,keep,,1,6,18
tmdb-52919-fennel-dauphinoise,Fennel Dauphinoise,keep,,1,2,7
tmdb-52920-chicken-marengo,Chicken Marengo,keep,,1,2,7
tmdb-52921-proven-al-omelette-cake,Provençal Omelette Cake,keep,,1,4,13
tmdb-52922-prawn-fennel-bisque,Prawn & Fennel Bisque,keep,,1,3,12
tmdb-52923-canadian-butter-tarts,Canadian Butter Tarts,keep,,1,3,8
tmdb-52924-nanaimo-bars,Nanaimo Bars,keep,,1,3,13
tmdb-52925-split-pea-soup,Split Pea Soup,keep,,1,3,8
tmdb-52926-tourtiere,Tourtiere,keep,,1,3,11
tmdb-52927-montreal-smoked-meat,Montreal Smoked Meat,keep,,1,6,16
tmdb-52928-beavertails,BeaverTails,keep,,1,7,12
tmdb-52929-timbits,Timbits,keep,,1,5,9
tmdb-52930-pate-chinois,Pate Chinois,keep,,1,6,10
tmdb-52931-sugar-pie,Sugar Pie,keep,,1,3,7
tmdb-52932-pouding-chomeur,Pouding chomeur,keep,,1,10,11
tmdb-52933-rappie-pie,Rappie Pie,keep,,1,6,7
tmdb-52934-chicken-basquaise,Chicken Basquaise,keep,,1,4,19
tmdb-52935-steak-diane,Steak Diane,keep,,1,2,16
tmdb-52936-saltfish-and-ackee,Saltfish and Ackee,keep,,1,12,16
tmdb-52937-jerk-chicken-with-rice-peas,Jerk chicken with rice & peas,keep,,1,6,20
tmdb-52938-jamaican-beef-patties,Jamaican Beef Patties,keep,,1,10,20
tmdb-52939-callaloo-jamaican-style,Callaloo Jamaican Style,keep,,1,12,10
tmdb-52940-brown-stew-chicken,Brown Stew Chicken,keep,,1,6,13
tmdb-52941-red-peas-soup,Red Peas Soup,keep,,1,8,15
tmdb-52942-roast-fennel-and-aubergine-paella,Roast fennel and aubergine paella,keep,,1,4,15
tmdb-52943-oxtail-with-broad-beans,Oxtail with broad beans,keep,,1,2,13
tmdb-52944-escovitch-fish,Escovitch Fish,keep,,1,3,17
tmdb-52945-kung-pao-chicken,Kung Pao Chicken,keep,,1,4,13
tmdb-52946-kung-po-prawns,Kung Po Prawns,keep,,1,3,12
tmdb-52947-ma-po-tofu,Ma Po Tofu,keep,,1,9,17
tmdb-52948-wontons,Wontons,keep,,1,8,11
tmdb-52949-sweet-and-sour-pork,Sweet and Sour Pork,keep,,1,13,10
tmdb-52950-szechuan-beef,Szechuan Beef,keep,,1,2,20
tmdb-52951-general-tsos-chicken,General Tsos Chicken,keep,,1,5,20
tmdb-52952-beef-lo-mein,Beef Lo Mein,keep,,1,3,17
tmdb-52953-shrimp-chow-fun,Shrimp Chow Fun,keep,,1,4,17
tmdb-52954-hot-and-sour-soup,Hot and Sour Soup,keep,,1,7,15
tmdb-52955-egg-drop-soup,Egg Drop Soup,keep,,1,6,10
tmdb-52956-chicken-congee,Chicken Congee,keep,,1,3,9
tmdb-52957-fruit-and-cream-cheese-breakfast-pastries,Fruit and Cream Cheese Breakfast Pastries,keep,,1,6,8
tmdb-52958-peanut-butter-cookies,Peanut Butter Cookies,keep,,1,6,3
tmdb-52959-baked-salmon-with-fennel-tomatoes,Baked salmon with fennel & tomatoes,keep,,1,2,7
tmdb-52960-salmon-avocado-salad,Salmon Avocado Salad,keep,,1,2,8
tmdb-52961-budino-di-ricotta,Budino Di Ricotta,keep,,1,2,8
tmdb-52962-salmon-eggs-eggs-benedict,Salmon Eggs Eggs Benedict,keep,,1,3,9
tmdb-52963-shakshuka,Shakshuka,keep,,1,2,9
tmdb-52964-smoked-haddock-kedgeree,Smoked Haddock Kedgeree,keep,,1,9,12
tmdb-52965-breakfast-potatoes,Breakfast Potatoes,keep,,1,10,9
tmdb-52966-chocolate-caramel-crispy,Chocolate Caramel Crispy,keep,,1,5,4
tmdb-52967-home-made-mandazi,Home-made Mandazi,keep,,1,10,4
tmdb-52968-mbuzi-choma-roasted-goat,Mbuzi Choma (Roasted Goat),keep,,1,7,7
tmdb-52969-chakchouka,Chakchouka,keep,,1,9,11
tmdb-52970-tunisian-orange-cake,Tunisian Orange Cake,keep,,1,5,7
tmdb-52971-kafteji,Kafteji,keep,,1,6,9
tmdb-52972-tunisian-lamb-soup,Tunisian Lamb Soup,keep,,1,4,13
tmdb-52973-leblebi-soup,Leblebi Soup,keep,,1,5,10
